"Neighbourhood","Neighbourhood Id","Combined Indicators","Drug Arrests","Total Population","Low Income Population","After-Tax Household Income"
"West Humber-Clairville",1.0,"N/A",29.0,33312.0,7590.0,59703.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",24.0,32954.0,11540.0,46986.0
"Thistletown-Beaumond Heights",3.0,"N/A",7.0,10360.0,2350.0,57522.0
"Rexdale-Kipling",4.0,"N/A",11.0,10529.0,2170.0,51194.0
"Elms-Old Rexdale",5.0,"N/A",9.0,9456.0,2790.0,49425.0
"Kingsview Village-The Westway",6.0,"N/A",12.0,22000.0,6760.0,50714.0
"Willowridge-Martingrove-Richview",7.0,"N/A",6.0,22156.0,3490.0,57048.0
"Humber Heights-Westmount",8.0,"N/A",3.0,10948.0,1780.0,54919.0
"Edenbridge-Humber Valley",9.0,"N/A",3.0,15535.0,1660.0,62463.0
"Princess-Rosethorn",10.0,"N/A",4.0,11051.0,950.0,93391.0
"Eringate-Centennial-West Deane",11.0,"N/A",7.0,18588.0,2130.0,69740.0
"Markland Wood",12.0,"N/A",2.0,10554.0,990.0,64297.0
"Etobicoke West Mall",13.0,"N/A",0.0,11848.0,2020.0,50570.0
"Islington-City Centre West",14.0,"N/A",30.0,43965.0,11590.0,57658.0
"Kingsway South",15.0,"N/A",10.0,9271.0,470.0,106386.0
"Stonegate-Queensway",16.0,"N/A",11.0,25051.0,3080.0,67549.0
"Mimico",17.0,"N/A",24.0,33964.0,4390.0,55300.0
"New Toronto",18.0,"N/A",16.0,11463.0,2410.0,40859.0
"Long Branch",19.0,"N/A",4.0,10084.0,1520.0,47680.0
"Alderwood",20.0,"N/A",4.0,12054.0,1090.0,61402.0
"Humber Summit",21.0,"N/A",12.0,12416.0,3330.0,53272.0
"Humbermede",22.0,"N/A",19.0,15545.0,4030.0,48655.0
"Pelmo Park-Humberlea",23.0,"N/A",32.0,10722.0,1430.0,59842.0
"Black Creek",24.0,"N/A",28.0,21737.0,7940.0,39986.0
"Glenfield-Jane Heights",25.0,"N/A",55.0,30491.0,9610.0,44488.0
"Downsview-Roding-CFB",26.0,"N/A",54.0,35052.0,7750.0,44087.0
"York University Heights",27.0,"N/A",59.0,27593.0,7950.0,42916.0
"Rustic",28.0,"N/A",10.0,9941.0,2980.0,41187.0
"Maple Leaf",29.0,"N/A",2.0,10111.0,1770.0,52174.0
"Brookhaven-Amesbury",30.0,"N/A",15.0,17757.0,4780.0,43512.0
"Yorkdale-Glen Park",31.0,"N/A",24.0,14804.0,2850.0,49803.0
"Englemount-Lawrence",32.0,"N/A",4.0,22372.0,5360.0,45087.0
"Clanton Park",33.0,"N/A",3.0,16472.0,2560.0,54498.0
"Bathurst Manor",34.0,"N/A",0.0,15873.0,2620.0,51076.0
"Westminster-Branson",35.0,"N/A",5.0,26274.0,6540.0,42465.0
"Newtonbrook West",36.0,"N/A",7.0,23831.0,6690.0,46815.0
"Willowdale West",37.0,"N/A",6.0,16936.0,3050.0,54226.0
"Lansing-Westgate",38.0,"N/A",8.0,16164.0,12430.0,60980.0
"Bedford Park-Nortown",39.0,"N/A",5.0,23236.0,2440.0,76160.0
"St.Andrew-Windfields",40.0,"N/A",7.0,17812.0,3350.0,80145.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",7.0,9266.0,810.0,161448.0
"Banbury-Don Mills",42.0,"N/A",13.0,27695.0,3790.0,60203.0
"Victoria Village",43.0,"N/A",10.0,17510.0,4320.0,43743.0
"Flemingdon Park",44.0,"N/A",8.0,21933.0,7800.0,43511.0
"Parkwoods-Donalda",45.0,"N/A",8.0,34805.0,7200.0,52550.0
"Pleasant View",46.0,"N/A",4.0,15818.0,3540.0,60065.0
"Don Valley Village",47.0,"N/A",15.0,27051.0,7040.0,51247.0
"Hillcrest Village",48.0,"N/A",3.0,16934.0,4350.0,57682.0
"Bayview Woods-Steeles",49.0,"N/A",3.0,13154.0,3080.0,61716.0
"Newtonbrook East",50.0,"N/A",14.0,16097.0,4600.0,54195.0
"Willowdale East",51.0,"N/A",15.0,50434.0,13330.0,55154.0
"Bayview Village",52.0,"N/A",8.0,21396.0,4250.0,58028.0
"Henry Farm",53.0,"N/A",5.0,15723.0,4220.0,47659.0
"O'Connor-Parkview",54.0,"N/A",12.0,18675.0,3910.0,48969.0
"Thorncliffe Park",55.0,"N/A",20.0,21108.0,8700.0,38645.0
"Leaside-Bennington",56.0,"N/A",6.0,16828.0,930.0,85039.0
"Broadview North",57.0,"N/A",8.0,11499.0,2150.0,41036.0
"Old East York",58.0,"N/A",2.0,9233.0,1120.0,61174.0
"Danforth-East York",59.0,"N/A",9.0,17180.0,2340.0,63221.0
"Woodbine-Lumsden",60.0,"N/A",9.0,7865.0,1100.0,56681.0
"Taylor-Massey",61.0,"N/A",9.0,15683.0,5180.0,37875.0
"East End-Danforth",62.0,"N/A",10.0,21381.0,3520.0,56179.0
"The Beaches",63.0,"N/A",24.0,21567.0,1760.0,70957.0
"Woodbine Corridor",64.0,"N/A",8.0,12541.0,1770.0,63343.0
"Greenwood-Coxwell",65.0,"N/A",14.0,14417.0,2920.0,52770.0
"Danforth",66.0,"N/A",20.0,9666.0,1400.0,62482.0
"Playter Estates-Danforth",67.0,"N/A",6.0,7804.0,870.0,55536.0
"North Riverdale",68.0,"N/A",6.0,11916.0,1380.0,68164.0
"Blake-Jones",69.0,"N/A",12.0,7727.0,2040.0,51381.0
"South Riverdale",70.0,"N/A",44.0,27876.0,5440.0,56192.0
"Cabbagetown-South St.James Town",71.0,"N/A",28.0,11669.0,1880.0,50873.0
"Regent Park",72.0,"N/A",12.0,10803.0,5150.0,30794.0
"Moss Park",73.0,"N/A",174.0,20506.0,5120.0,37295.0
"North St.James Town",74.0,"N/A",28.0,18615.0,5860.0,31304.0
"Church-Yonge Corridor",75.0,"N/A",135.0,31340.0,5160.0,41813.0
"Bay Street Corridor",76.0,"N/A",132.0,25797.0,12820.0,44614.0
"Waterfront Communities-The Island",77.0,"N/A",140.0,65913.0,6990.0,57670.0
"Kensington-Chinatown",78.0,"N/A",105.0,17945.0,6070.0,37571.0
"University",79.0,"N/A",35.0,7607.0,1530.0,45538.0
"Palmerston-Little Italy",80.0,"N/A",9.0,13826.0,1810.0,52309.0
"Trinity-Bellwoods",81.0,"N/A",54.0,16556.0,3220.0,51502.0
"Niagara",82.0,"N/A",55.0,31180.0,2580.0,59929.0
"Dufferin Grove",83.0,"N/A",20.0,11785.0,2140.0,44145.0
"Little Portugal",84.0,"N/A",18.0,15559.0,2030.0,52519.0
"South Parkdale",85.0,"N/A",30.0,21849.0,5660.0,32539.0
"Roncesvalles",86.0,"N/A",28.0,14974.0,2640.0,46883.0
"High Park-Swansea",87.0,"N/A",20.0,23925.0,2290.0,62128.0
"High Park North",88.0,"N/A",8.0,22162.0,2940.0,52827.0
"Runnymede-Bloor West Village",89.0,"N/A",7.0,10070.0,720.0,74729.0
"Junction Area",90.0,"N/A",14.0,14366.0,2190.0,53804.0
"Weston-Pellam Park",91.0,"N/A",29.0,11098.0,2810.0,48206.0
"Corso Italia-Davenport",92.0,"N/A",19.0,14133.0,2120.0,56345.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",20.0,36625.0,6400.0,50741.0
"Wychwood",94.0,"N/A",17.0,14349.0,1940.0,50261.0
"Annex",95.0,"N/A",43.0,30526.0,4260.0,49912.0
"Casa Loma",96.0,"N/A",21.0,10968.0,950.0,65574.0
"Yonge-St.Clair",97.0,"N/A",13.0,12528.0,980.0,58838.0
"Rosedale-Moore Park",98.0,"N/A",26.0,20923.0,1650.0,72915.0
"Mount Pleasant East",99.0,"N/A",6.0,16775.0,1210.0,71154.0
"Yonge-Eglinton",100.0,"N/A",35.0,11817.0,1100.0,63267.0
"Forest Hill South",101.0,"N/A",12.0,10732.0,860.0,67446.0
"Forest Hill North",102.0,"N/A",2.0,12806.0,1770.0,53978.0
"Lawrence Park South",103.0,"N/A",6.0,15179.0,930.0,105043.0
"Mount Pleasant West",104.0,"N/A",10.0,29658.0,4740.0,48066.0
"Lawrence Park North",105.0,"N/A",1.0,14607.0,980.0,103660.0
"Humewood-Cedarvale",106.0,"N/A",4.0,14365.0,1820.0,49252.0
"Oakwood Village",107.0,"N/A",30.0,21210.0,3930.0,46349.0
"Briar Hill-Belgravia",108.0,"N/A",20.0,14257.0,2870.0,48395.0
"Caledonia-Fairbank",109.0,"N/A",15.0,9955.0,1720.0,51225.0
"Keelesdale-Eglinton West",110.0,"N/A",9.0,11058.0,1970.0,45058.0
"Rockcliffe-Smythe",111.0,"N/A",37.0,22246.0,5160.0,46154.0
"Beechborough-Greenbrook",112.0,"N/A",21.0,6577.0,1920.0,37540.0
"Weston",113.0,"N/A",56.0,17992.0,5050.0,41356.0
"Lambton Baby Point",114.0,"N/A",5.0,7985.0,1390.0,58158.0
"Mount Dennis",115.0,"N/A",20.0,13593.0,3770.0,43790.0
"Steeles",116.0,"N/A",7.0,24623.0,7570.0,55755.0
"L'Amoreaux",117.0,"N/A",15.0,43993.0,12450.0,49769.0
"Tam O'Shanter-Sullivan",118.0,"N/A",7.0,27446.0,6570.0,46095.0
"Wexford/Maryvale",119.0,"N/A",10.0,27917.0,5500.0,53752.0
"Clairlea-Birchmount",120.0,"N/A",46.0,26984.0,5650.0,53716.0
"Oakridge",121.0,"N/A",23.0,13845.0,5890.0,32079.0
"Birchcliffe-Cliffside",122.0,"N/A",22.0,22291.0,3050.0,57017.0
"Cliffcrest",123.0,"N/A",18.0,15935.0,2660.0,60384.0
"Kennedy Park",124.0,"N/A",18.0,17123.0,4810.0,41776.0
"Ionview",125.0,"N/A",13.0,13641.0,3350.0,42971.0
"Dorset Park",126.0,"N/A",28.0,25003.0,6590.0,47630.0
"Bendale",127.0,"N/A",30.0,29960.0,6870.0,51254.0
"Agincourt South-Malvern West",128.0,"N/A",9.0,23757.0,6400.0,53886.0
"Agincourt North",129.0,"N/A",10.0,29113.0,8250.0,55893.0
"Milliken",130.0,"N/A",12.0,26572.0,8330.0,55464.0
"Rouge",131.0,"N/A",20.0,46496.0,7770.0,72784.0
"Malvern",132.0,"N/A",14.0,43794.0,11490.0,53425.0
"Centennial Scarborough",133.0,"N/A",1.0,13362.0,1330.0,86816.0
"Highland Creek",134.0,"N/A",6.0,12494.0,2120.0,87321.0
"Morningside",135.0,"N/A",14.0,17455.0,4580.0,50069.0
"West Hill",136.0,"N/A",54.0,27392.0,7640.0,46803.0
"Woburn",137.0,"N/A",39.0,53485.0,15430.0,47908.0
"Eglinton East",138.0,"N/A",26.0,22776.0,6290.0,42790.0
"Scarborough Village",139.0,"N/A",28.0,16724.0,5500.0,40181.0
"Guildwood",140.0,"N/A",4.0,9917.0,790.0,67678.0
