Year,Annual - Canada (parts per million),Annual - Global (parts per million),January,Feburary,March,April,May,June,July,August,September,October,November,December
1980,339.6,338.9,342.3,341.9,342.6,343.8,343.2,341.9,335.8,329.7,331.7,338.3,341.7,342
1981,341.2,340.1,343.5,345.8,345.5,344,346.4,343,336.6,330.6,336.4,337.8,341.1,344
1982,342.8,340.9,346,346.8,347.6,347.2,346.8,342.6,341.7,334.4,335.3,339.5,341.8,343.9
1983,344.2,342.5,346,347.2,347.2,348.7,348.3,345.1,343.4,335.5,335.3,341.3,344.8,347.7
1984,345.8,344.1,348.8,348.6,350.1,350,350.5,346.1,343.9,336.8,337.8,341.7,346.3,348.6
1985,346.9,345.6,349.8,351.9,350.9,350.8,351.1,347.8,343.8,337.6,339,344.3,347.1,348.2
1986,348.4,347,351.2,350.8,351.4,352.6,351.7,348.1,344.6,345.4,340.4,345,348.5,351.4
1987,349.5,348.7,350.5,352.4,353.3,352.6,353.7,352.4,344.1,341.6,342.3,346.1,350.7,354.7
1988,352.6,351.2,355.3,355.2,355.2,357.3,355.7,352.9,349.1,342.6,347.1,351.5,353.5,356.2
1989,355,352.8,359.7,358.6,358.9,359,359.8,355.9,351.7,343.7,347.5,352.9,355.3,357.1
1990,355.8,354.1,360.1,359.7,359,359.8,358.2,355.7,354.2,346.5,347.4,352.1,357.2,359.3
1991,357.2,355.4,359.9,361.3,361.1,361.2,361.5,358.1,356.1,347.9,349.5,352,357.5,359.9
1992,357.8,356.1,360.8,362.4,362.1,361.4,362.5,360.6,354.5,349.4,348.9,354.1,356.2,361.2
1993,358.3,356.8,361.1,363,363.2,362.8,363.2,360.2,353.1,349.1,351.5,355.9,356.9,360
1994,359.8,358.3,361.6,363.2,363.9,364.1,363.8,361.4,357.5,350.5,352.1,358.3,358.6,363.1
1995,361.6,360.2,363.8,365.9,365.7,366.3,364.5,363,357.1,352.7,355.1,358.9,362.3,364.2
1996,363.8,361.9,366.6,366,367.3,367.9,367.7,367,361.8,356.5,356,360.7,363.6,365.1
1997,364.4,363.1,368.7,368.9,368.8,368.4,368.3,366.2,359.9,354.7,356.2,360.8,364.6,367.2
1998,366.9,365.7,368.6,369.3,369.6,370.2,370.8,367.8,362.8,357.9,360.4,365.2,369.1,371.2
1999,368.6,367.8,373.3,373.4,373.6,373.4,372.6,368.3,361,357.6,360.4,366.4,370.5,373.3
2000,370.7,369,373.9,375.9,375.3,375.3,374.5,370.4,363.7,359.6,363.3,368.8,373.5,374.5
2001,372.1,370.6,376.1,376.2,376.4,377.3,376.3,371.4,364.6,361.8,362.5,370.3,375.3,376.9
2002,374.7,372.6,378.4,378.9,379.1,379.5,378.1,373.1,366.5,364.9,366.5,373.4,378.6,379.4
2003,376.8,375.1,379.7,380.3,381.5,381.4,380,376.3,369.6,367.1,367.6,375.5,380.4,382.1
2004,378.7,377,382.8,383.1,383.7,383.4,382,378.3,372.4,366.9,369.7,377.1,381.1,383.5
2005,380.9,379,384.7,385.2,385,385.4,383.7,379.6,372.8,370.5,372.9,379.9,384.2,386.6
2006,383.1,381.1,387.4,387,387.9,387.4,385.6,381.5,376.3,371.9,375.7,382.5,386.2,388
2007,385,382.9,389.3,388.8,389.9,389,387.7,383.2,377.5,373.9,378.1,384.2,387.9,390.4
2008,386.8,385,391.5,392,392.3,392.7,390.6,385.9,378.4,375.6,376.2,384.2,390.4,392.2
2009,388.2,386.5,392.8,393.1,393.4,393.7,392.1,387.9,380.8,376.3,380.6,385.9,390.2,392.3
2010,390.9,388.8,394.4,395.1,394.9,395,393.1,389.1,382.7,381.4,384.8,389.9,394,396.4
2011,393,390.6,397.3,397.6,397.9,398.3,395.9,391.6,384.7,381.2,384.7,391.2,396.7,398.4
2012,395,392.7,399.2,399.5,399.9,399.5,397.9,392.9,386,384.8,387.4,394.1,398.9,400.5
2013,397.9,395.4,401.8,402.1,402.1,402.3,400.7,397,389.8,386.2,390.8,396.9,401.2,404
2014,399.5,397.3,404.3,404.7,404.9,404.9,403.3,398.3,390,387.2,391,397.3,402.7,406
2015,401.9,399.7,405.9,406.2,406.5,406.4,404.7,400.2,392.3,390,394.3,401.8,406,408.9
2016,404.6,403.1,408.6,409,409.4,409,406.5,401.9,395.7,393.1,397.8,404.3,408.6,410.8
2017,407.8,405.2,412,412.5,412.8,412.8,410.8,406.6,399.8,396.2,400,406,410.9,412.8
2018,409.9,407.6,413.9,413.9,414.7,415.3,413.4,409.4,400.8,398.7,401.1,408.6,413.3,415.5
2019,412.3,410.1,416.1,416.9,417.4,417.1,415.3,411.6,403,400.6,404.2,410.9,416.2,418.1
2020,415,412.5,419.5,420.2,421.1,420.3,418.4,413.9,405.7,403.2,408.7,413.4,417,419.2
