Year,Ground-level ozone average,Ground-level ozone peak (4th highest),Fine particulate matter concentration,Sulphur dioxide average concentration,Nitrogen dioxide average concentration,Volatile organic compounds concentration
2002,0,0,0,0,0,0
2003,2,-0.6,-0.7,-1.5,-1.7,31.3
2004,-3.1,-12.4,-10.7,-8.7,-1.1,18.9
2005,0.5,-7.1,-5.8,-2.3,3.7,-7.2
2006,-0.3,-9.5,-14.9,-23.8,-3.4,0.9
2007,1.1,-5.3,-16,-18.8,-6.9,-4.6
2008,-0.9,-11.8,-15.8,-27.1,-7.9,-7.1
2009,-3.1,-15.8,-18.3,-33,-18.8,-0.5
2010,0.9,-12.6,-6.6,-10.1,-17,-11.7
2011,1.2,-16,-8.7,-24.9,-40,-17.2
2012,3.1,-10.9,-9.6,-27.5,-38.1,-27.9
2013,1.3,-17,-0.7,-24.4,-40.3,-23
2014,0.9,-20.2,3.3,-15,-44.7,-28.7
2015,0.3,-13.4,2.5,-14.2,-47.8,-25.7
2016,-0.9,-16.7,-12.2,-24.4,-51.7,-36.1
