Year,Age > 65,Female,Male
1984,2.03,1.87,1.9
1985,2.05,1.84,1.81
1986,2.02,1.88,1.86
1987,2.04,2.02,1.81
1988,2.29,2.19,2.1
1989,2.27,2.13,2.07
1990,2.13,2.12,1.89
1991,2.31,2.26,2.11
1992,2.03,1.86,1.88
1993,2.07,1.97,1.9
1994,2.2,2.06,2.1
1995,2.24,1.99,2.06
1996,2.25,2.09,2.05
1997,2.26,2.13,1.99
1998,2.27,2.19,2.09
1999,2.39,2.18,2.23
2000,2.11,2.02,1.88
2001,2.39,2.17,2.19
2002,2.24,2.1,2.09
2003,2.35,2.12,2.15
2004,2.29,2.19,2.04
2005,2.39,2.22,2.18
2006,2.38,2.22,2.25
2007,2.45,2.28,2.24
2008,2.46,2.31,2.19
2009,2.44,2.27,2.21
2010,2.58,2.42,2.36
2011,2.41,2.17,2.24
2012,2.48,2.18,2.31
