Year,Temperature,Ranking
1948,-0.2,55
1949,-0.2,56
1950,-1.2,73
1951,-0.6,67
1952,0.8,22
1953,0.8,21
1954,0,46
1955,-0.2,57
1956,-0.8,70
1957,-0.3,63
1958,0.5,33
1959,-0.4,65
1960,0.4,36
1961,-0.2,60
1962,0,47
1963,0.2,41
1964,-0.6,68
1965,-0.6,69
1966,-0.3,62
1967,-0.4,64
1968,0.2,42
1969,0.4,39
1970,-0.2,58
1971,0,50
1972,-2,74
1973,0.6,27
1974,-0.8,71
1975,-0.1,54
1976,0,45
1977,1,18
1978,-0.5,66
1979,-0.2,61
1980,0.4,38
1981,2,6
1982,-1,72
1983,0.1,43
1984,0.2,40
1985,0,49
1986,0,44
1987,1.5,12
1988,0.8,23
1989,-0.2,59
1990,-0.1,53
1991,0.4,35
1992,-0.1,52
1993,0.4,37
1994,0.5,34
1995,0.5,31
1996,-0.1,51
1997,0.6,28
1998,2.3,3
1999,1.7,9
2000,0.8,19
2001,1.8,8
2002,0.5,32
2003,1,17
2004,0,48
2005,1.6,10
2006,2.4,2
2007,0.8,20
2008,0.6,29
2009,0.7,24
2010,3,1
2011,1.3,13
2012,1.8,7
2013,0.7,25
2014,0.6,26
2015,1.3,14
2016,2.1,4
2017,1.5,11
2018,0.6,30
2019,1.1,16
2020,1.2,15
2021,2.1,5
